,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,dataset,PER AKS,CPD AKS,CPD HPO,diff PER,diff HPO
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,d1_solar,0.6414518808923599,0.6536642457107632,0.662372090612066,1.9038629680864003,-1.3146455028406057
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,d2_mauna,0.0817100238396645,0.080828916184818,0.080828916184818,-1.0783348400135615,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,d6_airline,0.3864710474844087,0.303499561650093,0.4122173786232518,-21.469004308185056,-26.37390430657267
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,d7_wheat,0.3893189416294852,0.3782947289607135,0.3702979895492322,-2.831666145661982,2.1595416764794706
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,d8_temperature,0.5663520760521403,0.5631011257088047,0.6033427787313166,-0.5740157899653209,-6.669782823477288
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,d9_internet,0.4737998756430455,0.5331105523545344,0.6644141856176293,12.518086171084764,-19.762316354073185
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,d10_call_centre,0.31485659436948,0.3073192447128913,0.3134878640182505,-2.3938992517157365,-1.9677378340234752
7,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,d11_radio,0.5957044193013128,0.4807014020798529,0.5197469720447145,-19.30538258493097,-7.512418939403165
8,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,d12_gas_production,0.1628252469300918,0.1769333799225082,0.2321242783744634,8.664585657575374,-23.776443738866927
9,9.0,9.0,9.0,9.0,,,,,,,,,,,d13_sulphuric,0.5947483603526561,0.5571519456619384,0.6315012315929351,-6.321398627887753,-11.773418991353957
10,10.0,10.0,10.0,,,,,,,,,,,,d14_unemployment,0.4060160785886971,0.4353116822448463,0.3770632291995376,7.215380178533826,15.447927173637034
11,11.0,11.0,,,,,,,,,,,,,d15_births,0.8044002618194431,0.7845261554015832,0.796190284509675,-2.470673787811484,-1.4649926449774475
12,12.0,,,,,,,,,,,,,,d16_wages,0.1094109597478705,0.1108099701794497,0.1103484535882807,1.2786748556113947,0.4182356672535858
13,,,,,,,,,,,,,,,d17_airquality,0.5883456291290922,0.5092313248581083,0.5315366908297607,-13.446909495714966,-4.196392526888859
