,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,dataset,PER AKS,CPD AKS,CPD HPO,diff PER,diff HPO
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,simul_noisy_1cp_1,0.1849455843356812,0.1784446609191231,0.1824249874222919,-3.515046568918778,-2.1818976442930293
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,simul_noisy_1cp_2,0.5487446347939361,0.4867314401319171,0.4898040555185159,-11.300920451879415,-0.6273152196230924
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,simul_noisy_1cp_3,0.3408712259928944,0.3534806841833445,0.3623292329874834,3.6991852725970498,-2.442129422233119
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,simul_noisy_1cp_4,0.0899531219559182,0.1013309107880185,0.1481038266736981,12.648575818942742,-31.58116635887436
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,simul_noisy_2cp_1,0.2088419673588689,0.1269148667296822,0.164919736690198,-39.22923235462784,-23.04446436990624
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,simul_noisy_2cp_2,0.4100955500149594,0.2603147998286432,0.2722889368076642,-36.52337855918029,-4.39758483007302
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,simul_noisy_2cp_3,0.1141708893891558,0.1147889323651953,0.1847090238777448,0.5413314894419763,-37.85418278146943
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,simul_noisy_2cp_4,0.1225483506920564,0.1152996092931558,0.2006630479724899,-5.915005267688567,-42.54068675914712
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,simul_varnoise_1cp_1,0.1139273080201245,0.1119823954708939,0.1141639023828035,-1.707152203479656,-1.9108552409103363
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,simul_varnoise_1cp_2,0.4190042759976306,0.2911759991287044,0.3160700820516947,-30.50763063564752,-7.876127585817738
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,simul_varnoise_1cp_3,0.2574426850173477,0.2380811594432123,0.2390345168869166,-7.5207130367019985,-0.3988367270636894
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,simul_varnoise_1cp_4,0.0626227306863066,0.0728809184503632,0.1359262128072421,16.380933331448787,-46.38199877332261
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,simul_varnoise_2cp_1,0.1142796895469269,0.0666178378922868,0.1181494915271887,-41.70631880748028,-43.615637248039526
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,simul_varnoise_2cp_2,0.2232031193466701,0.1748923120124495,0.1766053058199997,-21.64432445013737,-0.9699560268569218
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,simul_varnoise_2cp_3,0.1045217503126835,0.0824406119008165,0.0824407778160658,-21.125878915928865,-0.0002012538620754
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,simul_varnoise_2cp_4,0.0705258966895703,0.0582585845731634,0.0932349775038459,-17.39405337929011,-37.51423968460729
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,simul_noiseless_1cp_1,0.043175134992361,0.0499475175864617,0.0499475175864617,15.685839998645037,0.0
17,17.0,17.0,17.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,simul_noiseless_1cp_2,0.1891245305053206,0.1333721869593438,0.1333740125612862,-29.47917089179944,-0.0013687838487874
18,18.0,18.0,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,simul_noiseless_1cp_3,0.1653446677172242,0.1109661670931441,0.1109661670931441,-32.88796752555654,0.0
19,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,simul_noiseless_1cp_4,0.0332899084512191,0.046310055563914,0.130034934345898,39.11139356773469,-64.38645061278108
20,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,simul_noiseless_2cp_1,0.0646870561820947,0.0482022847735702,0.0765145524214926,-25.48387943659037,-37.002461299073865
21,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,simul_noiseless_2cp_2,0.268889801830566,0.0806319081031311,0.0874792630549941,-70.01302855139917,-7.827403561411317
22,22.0,,,,,,,,,,,,,,,,,,,,,,,,simul_noiseless_2cp_3,0.0526910966579181,0.0496636618751485,0.1107900296890472,-5.7456287205869145,-55.17316674204452
